Title,Location,Price,Time,Category
SUZUKI MEHRAN 2017 B/than  ALTO CULTUS COURE,"Gulistan-e-Jauhar, Karachi•","Rs 1,250,000",2 hours ago,Cars
suzuki swift automatic transmission model 2013 orignal colour,"North Nazimabad, Karachi•","Rs 2,125,000",2 hours ago,Cars
Hyundai Sonata 2.0 2022 Model,"Cantt, Sialkot•","Rs 9,000,000",2 hours ago,Cars
1.5 Honda City 2019 automatic,"DHA Phase 5, Karachi•","Rs 3,850,000",2 hours ago,Cars
Corolla Gli 1.3 (2016),"Garden East, Karachi•","Rs 2,950,000",2 hours ago,Cars
DAIHATSU MIRA X,"DHA Phase 5, Lahore•","Rs 3,795,000",2 hours ago,Cars
full options. 7 gears. family use car . brand new tyres.,"Al Rehman Garden Phase 2, Lahore•","Rs 5,200,000",2 hours ago,Cars
honda city 2015,"Defence Homes Society, Sialkot•","Rs 3,150,000",2 hours ago,Cars
2015 vxr efi euru 2,"Zaman Town, Karachi•","Rs 825,000",3 hours ago,Cars
Toyota Corolla GLi 1.3 VVTi 2013,"Chishtian Road, Bahawalnagar•","Rs 2,665,000",3 hours ago,Cars
Honda Civic 2004 Model,"Islampura, Lahore•","Rs 2,950,000",3 hours ago,Cars
Liana 2008 In Full Original Condition,"Scheme 33, Karachi•","Rs 925,000",3 hours ago,Cars
Suzuki Cultus VXR 2002 Model For Sale,"F-11 Markaz, Islamabad•","Rs 675,000",3 hours ago,Cars
Civic Rebirth,"Talagang Road, Chakwal•","Rs 4,150,000",3 hours ago,Cars
HONDA CIVIC FAMILY CAR total geniune,"Manawan, Lahore•","Rs 1,180,000",3 hours ago,Cars
Toyota Passo 2014 Urgent Sale Today,"DHA Defence, Karachi•","Rs 2,575,000",3 hours ago,Cars
Toyota Aqua X URBAN PACKAGE 2015,"Gulberg, Lahore•","Rs 4,500,000",3 hours ago,Cars
Toyota yaris 1.3 cvt ativ attitude black colour,"Park View City - Broadway Commercial, Lahore•","Rs 4,600,000",3 hours ago,Cars
Altis CVT-i 1.8,"Lalazar, Rawalpindi•","Rs 6,000,000",4 hours ago,Cars
Toyota Corolla XLI 2012 Model,"Murree Road, Rawalpindi•","Rs 2,200,000",4 hours ago,Cars
Suzuki  Mehran VXR   1999 Model,"Others, Faisalabad•","Rs 345,000",4 hours ago,Cars
KIA Sportage FWD 2022,"Sabzazar, Lahore•","Rs 7,560,000",4 hours ago,Cars
KIA Sportage 2020  AWD  Automatic,"Green Town, Lahore•","Rs 6,850,000",4 hours ago,Cars
