Title,Location,Price,Time
iphone X /Xs /XsMax,"DHA Defence, Lahore•","Rs 47,999",4 days ago
iphone 12 pro max,"Korangi Creek Cantonment, Karachi•","Rs 125,000",1 day ago
Samsung S21 Ultra,"DHA Defence, Islamabad•","Rs 130,000",4 days ago
Nothing phone 1,"Blue Area, Islamabad•","Rs 112,000",4 weeks ago
I PHONE 8 PLUS 64gb PTA APPROVED,"Gulistan-e-Jauhar, Karachi•","Rs 54,000",4 weeks ago
Iphone X Pta approved,"Shama Road, Lahore•","Rs 71,000",1 day ago
iPhone 12,"Shadbagh, Lahore•","Rs 155,000",2 minutes ago
Samsung note 10 plus pta approved,"Allama Iqbal Town, Lahore•","Rs 75,000",2 minutes ago
Samsung a71 8gb. 128gb. exchng possibl,"Murababad, Faisalabad•","Rs 47,500",2 minutes ago
iPhone 7 Plus PTA Approved 32 GB With Box,"Dastgir Colony, Karachi•","Rs 29,000",2 minutes ago
OnePlus 6T Maclaren 10GB-256GB | only Back crack,"G-5, Islamabad•","Rs 35,000",1 minute ago
Tecno spark 10c available for sale in 16 months warranty left,"DHA Phase 2 Extension, Karachi•","Rs 38,000",2 minutes ago
OnePlus 8  8/128gb single sim,"Township, Lahore•","Rs 70,000",1 minute ago
mobil phone,"Cantt, Taxila•","Rs 11,500",2 minutes ago
Iphone 15 pro max 245,"New Mirpur City, Mirpur•","Rs 365,000",2 minutes ago
Google Pixel 4a 5g,"Baghbanpura, Lahore•","Rs 44,000",2 minutes ago
IPHONE 11 Pro Max 64 GB Non PTA,"Faisal Colony, Okara•","Rs 93,000",2 minutes ago
redmi note 10 pro. 6/128,"Mananwala Bypass, Nankana Sahib•","Rs 48,000",2 minutes ago
Samsung A12 condition 10/8,"Falaknaz Plaza, Karachi•","Rs 15,000",2 minutes ago
Iphone 13 pro max Pta approved,"DHA Phase 4, Lahore•","Rs 295,000",3 hours ago
Iphone 12 128gb Non Pta,"Mustafa Town, Lahore•","Rs 79,000",1 day ago
IPHONE X 64GB PTA APPROVED,"Gulberg 3, Lahore•","Rs 65,000",2 days ago
IPhone 15 Pro Max 256GB Blue and Black Titanium,"Soan Garden, Islamabad•","Rs 360,000",3 weeks ago
iphone 14 128gb jv,"Gulberg, Lahore•","Rs 165,000",12 hours ago
Samsung S22 Ultra PTA,"DHA Phase 5, Lahore•","Rs 175,000",6 days ago
Iphone X,"Gulshan-e-Iqbal, Karachi•","Rs 47,500",2 minutes ago
One Plus 9 Pro 12/256,"Kundian City, Mianwali•","Rs 115,000",3 minutes ago
oppo A16e.        Ram 4+1 / storage 64,"Sir Syed Town, Faisalabad•","Rs 32,000",3 minutes ago
Iphone 14 Pro Max,"Tableeghi Markaz, Talagang•","Rs 265,000",3 minutes ago
IPHONE XS MAX 256GB NON PTA IN PRISTINE CONDITION,"GT Road, Jhelum•","Rs 88,000",3 minutes ago
oppo a16e 4gp ram 64gp rom 03014289010,"Lakhodher, Lahore•","Rs 28,000",4 minutes ago
samsung a51 dual Sim pta Approved,"Others, Sahiwal•","Rs 30,000",4 minutes ago
iPhone 11,"Kharadar, Karachi•","Rs 98,000",4 minutes ago
Iphone 14 Pro Max 512GB NON PTA in 10/10 with Full box,"Gulzar-e-Quaid Housing Society, Rawalpindi•","Rs 335,000",4 minutes ago
infinix note 30 pro 8+8 256 with wireless changerbrand new 03321999239,"Raja Bazar, Rawalpindi•","Rs 58,000",4 minutes ago
Tecno Spark 20 pro +,"Abdullah Garden, Faisalabad•","Rs 59,000",4 minutes ago
oneplus 10 pro,"Shahdara, Bahawalpur•","Rs 107,000",4 minutes ago
Samsung Galaxy s23 ultra 12/256 pta aprov dual physical sim,"Allama Iqbal Road, Mirpur•","Rs 287,000",2 minutes ago
Iphone 15 Pro Max 256 GB Natural Titanium ZPA (Physical + E Sim),"PASSCO Housing Society, Lahore•","Rs 368,000",2 days ago
Iphone 12 Pro [PTA Approved],"Gulshan-e-Iqbal, Karachi•","Rs 185,000",1 day ago
iphone 13 128gb non pta,"Gulberg, Lahore•","Rs 114,999",4 weeks ago
Samsung Galaxy S23,"Valencia Town, Lahore•","Rs 104,000",6 days ago
iphone 14 pro 1000 GB JV,"Allama Iqbal Town, Lahore•","Rs 225,000",4 days ago
samsung note9 6/128gb dual sim official pta approved 9/10 condition,"Jaranwala, Faisalabad•","Rs 55,499",2 days ago
vivo y83 6/128 like new,"Samanabad, Lahore•","Rs 20,500",3 minutes ago
USA made 15promax available 03208805138,"DHA Defence, Lahore•","Rs 40,000",3 minutes ago
samsung galaxy S21 5g non pta,"Shahra-e-Faisal, Karachi•","Rs 63,999",3 minutes ago
Samsung A02s 4/64,"Gulshan-e-Iqbal, Karachi•","Rs 20,500",3 minutes ago
Samsung A02s 4/64,"Nazimabad 4, Karachi•","Rs 20,500",3 minutes ago
Samsung A02s 4/64,"Gulshan-e-Iqbal Town, Karachi•","Rs 21,000",3 minutes ago
Samsung A02s 4/64,"Orangi Town, Karachi•","Rs 20,000",3 minutes ago
